long,lat,n
-76.6722,39.306,5
-76.6722,39.3062,2
-76.6722,39.3063,1
-76.6721,39.2824,1
-76.6721,39.2829,1
-76.6721,39.3427,2
-76.672,39.3482,1
-76.6719,39.3241,1
-76.6719,39.3321,2
-76.6719,39.3405,1
-76.6719,39.3501,1
-76.6718,39.3101,1
-76.6718,39.3346,1
-76.6718,39.3415,2
-76.6717,39.3241,3
-76.6717,39.3399,1
-76.6716,39.274,1
-76.6716,39.2761,1
-76.6716,39.308,1
-76.6716,39.351,2
-76.6715,39.2738,10
-76.6715,39.3452,2
-76.6714,39.3153,1
-76.6714,39.3156,1
-76.6714,39.339,1
-76.6714,39.3403,1
-76.6714,39.3452,1
-76.6713,39.3159,1
-76.6713,39.3181,1
-76.6712,39.2856,1
-76.6712,39.2857,1
-76.6712,39.2863,1
-76.6712,39.3112,1
-76.6712,39.3408,3
-76.6712,39.349,1
-76.6712,39.3503,2
-76.6712,39.3504,1
-76.6712,39.3516,1
-76.6711,39.2864,4
-76.6711,39.3043,1
-76.6711,39.3391,1
-76.671,39.2807,1
-76.6709,39.3043,3
-76.6709,39.3251,1
-76.6709,39.3401,1
-76.6709,39.3413,6
-76.6708,39.2808,1
-76.6708,39.2838,1
-76.6708,39.2874,1
-76.6708,39.3394,1
-76.6707,39.268,1
-76.6707,39.2943,1
-76.6707,39.3045,1
-76.6707,39.3308,1
-76.6707,39.3336,1
-76.6706,39.3031,2
-76.6706,39.3421,2
-76.6706,39.3495,2
-76.6705,39.2838,1
-76.6705,39.286,3
-76.6705,39.3089,1
-76.6705,39.309,3
-76.6705,39.3175,1
-76.6705,39.342,1
-76.6705,39.3442,3
-76.6705,39.3456,1
-76.6705,39.3496,3
-76.6705,39.3507,2
-76.6704,39.286,1
-76.6704,39.2999,2
-76.6704,39.331,1
-76.6704,39.3421,1
-76.6704,39.3422,1
-76.6704,39.3519,1
-76.6703,39.3001,1
-76.6703,39.3021,1
-76.6703,39.3085,1
-76.6703,39.3088,1
-76.6703,39.3159,2
-76.6703,39.3459,3
-76.6702,39.3381,1
-76.6702,39.3479,3
-76.6702,39.3516,2
-76.6701,39.338,1
-76.6699,39.2881,1
-76.6699,39.3142,1
-76.6699,39.3445,1
-76.6699,39.3461,2
-76.6698,39.2864,1
-76.6697,39.2626,1
-76.6697,39.2706,2
-76.6697,39.308,7
-76.6697,39.3383,1
-76.6696,39.3052,1
-76.6696,39.3057,3
-76.6696,39.3089,1
-76.6695,39.3016,1
-76.6695,39.31,1
-76.6695,39.3131,1
-76.6695,39.3237,1
-76.6695,39.3397,2
-76.6695,39.343,1
-76.6694,39.3059,1
-76.6694,39.3091,9
-76.6693,39.2795,2
-76.6693,39.3081,4
-76.6693,39.3429,1
-76.6692,39.3081,3
-76.6692,39.3431,3
-76.6692,39.3472,1
-76.6692,39.3497,1
-76.6692,39.3524,2
-76.6691,39.3025,1
-76.6691,39.3068,1
-76.6691,39.3385,1
-76.6691,39.347,1
-76.6691,39.3471,1
-76.6691,39.3472,2
-76.6691,39.3488,2
-76.669,39.2858,1
-76.669,39.2972,1
-76.669,39.3026,1
-76.669,39.3466,2
-76.669,39.3471,4
-76.669,39.3472,2
-76.6689,39.2982,1
-76.6689,39.2986,2
-76.6689,39.3018,3
-76.6689,39.302,1
-76.6689,39.3178,1
-76.6689,39.332,1
-76.6689,39.3478,1
-76.6689,39.3648,2
-76.6688,39.3376,2
-76.6688,39.3386,2
-76.6687,39.3298,3
-76.6687,39.3313,1
-76.6687,39.3375,2
-76.6686,39.2827,1
-76.6686,39.2952,1
-76.6686,39.3102,1
-76.6686,39.3375,1
-76.6685,39.2827,1
-76.6685,39.3387,1
-76.6685,39.352,1
-76.6684,39.2777,1
-76.6684,39.2792,1
-76.6684,39.3023,1
-76.6684,39.3027,6
-76.6684,39.3101,2
-76.6683,39.3026,1
-76.6683,39.3122,1
-76.6683,39.352,1
-76.6682,39.2749,1
-76.6681,39.2983,2
-76.6681,39.2984,1
-76.6681,39.3026,1
-76.6681,39.3027,1
-76.6681,39.3111,1
-76.6681,39.337,3
-76.6681,39.3377,1
-76.668,39.2951,2
-76.668,39.2981,1
-76.668,39.3111,3
-76.668,39.3124,1
-76.668,39.331,8
-76.668,39.3312,1
-76.668,39.3328,1
